WellName,OilGravityAPI,GasGravity,SolutionGasOilRatio,InitialReservoirPressure,ReservoirTemperature,Bob,Boi,Bgi,Bwi,Coi,Cgi,Cwi,Cti,Coi(Vazquez-Beggs)
A1,43.9,0.8,1890.29,8726.53,175,2.140368279,2.026386424,0.000488931,1.005311264,1.22E-05,4.11E-05,2.21E-06,1.12E-05,1.22E-05
A2,41.80557251,0.816515207,1566.478271,8907.097656,181.4206238,1.938757693,1.842898906,0.000491342,1.006891358,1.02E-05,3.97E-05,2.22E-06,1.11E-05,1.02E-05
A3,41.80557251,0.816515207,3665.300537,8826.688477,179.7828522,3.414475352,3.180527092,0.000491938,1.006569543,2.22E-05,4.02E-05,2.22E-06,1.64E-05,2.21E-05
A4,41.80557251,0.816515207,1475.636963,8921.011719,181.7040253,1.880753152,1.789976734,0.000491121,1.006931896,9.68E-06,3.96E-05,2.22E-06,1.07E-05,9.68E-06
A5,45,0.8,3610.910841,8155.129395,186.6704254,3.377140062,3.176720956,0.000508884,1.010484486,2.39E-05,4.68E-05,2.29E-06,2.02E-05,2.39E-05
A6,45,0.8,6870.75,10165,185.17,5.991450738,5.291014704,0.000469496,1.004961606,3.52E-05,3.27E-05,2.15E-06,2.00E-05,3.51E-05
A7,48.06237411,0.788040459,4069.816895,7429.217285,180.6304474,3.722621723,3.538299651,0.000522322,1.010381058,2.92E-05,5.43E-05,2.31E-06,2.33E-05,2.92E-05
A8,42.85,0.78,1010.746527,10418.41699,177.6476288,1.578167539,1.510147151,0.000458883,1.001974132,6.05E-06,3.15E-05,2.10E-06,6.96E-06,6.04E-06
A9,44.407,0.72,1217.56,8884,179.62,1.676853992,1.605373136,0.000479606,1.00636784,8.39E-06,4.27E-05,2.21E-06,7.88E-06,8.39E-06
A10,43.46363636,0.72,2508.813336,8965.854492,181.2474823,2.475211047,2.343780212,0.00047906,1.006685986,1.55E-05,4.22E-05,2.22E-06,1.18E-05,1.55E-05
A11,43.5,0.8,2442.033222,9072.693359,179.7940826,2.516970909,2.363505674,0.000484964,1.005949068,1.49E-05,3.89E-05,2.20E-06,9.44E-06,1.49E-05
A12,45.5,0.78,3140.871778,9102.686523,184.0399323,3.001280787,2.79975295,0.000484508,1.00723099,1.88E-05,3.96E-05,2.22E-06,1.67E-05,1.88E-05
A13,43.13,0.719,1556.946215,9293.693359,180.6170197,1.874122448,1.785043753,0.000472121,1.005662691,9.85E-06,3.98E-05,2.19E-06,8.94E-06,9.85E-06
A14,45,0.8,2290.322818,9318.912109,181.1071472,2.420265509,2.26949829,0.000481311,1.005768692,1.37E-05,3.74E-05,2.19E-06,1.03E-05,1.37E-05
A15,44.09090909,0.8,1711.866598,9359.095703,182.7801208,2.030190737,1.919821563,0.000481568,1.006202691,1.06E-05,3.73E-05,2.20E-06,9.74E-06,1.06E-05
A16,42.52727273,0.73,2548.132468,9368.663086,183.1308746,2.509685989,2.367299361,0.000473535,1.006290043,1.51E-05,3.91E-05,2.20E-06,1.19E-05,1.51E-05
A17,45,0.8,1670.91602,9520.835938,186.1054077,2.009071358,1.89816468,0.000480497,1.006848562,1.02E-05,3.64E-05,2.20E-06,1.06E-05,1.02E-05
A18,45,0.8,2642.895912,9178.658203,176.9642792,2.662674307,2.488854774,0.000481388,1.004808208,1.58E-05,3.81E-05,2.18E-06,1.06E-05,1.57E-05
A19,44.2,0.811,2242,9536.358398,183.860733,2.39644599,2.245260802,0.000480459,1.006100986,1.32E-05,3.59E-05,2.19E-06,1.26E-05,1.31E-05
A20,45,0.8,1684.619122,9512.55957,183.4019012,2.01579576,1.90436995,0.000479104,1.006003693,1.03E-05,3.63E-05,2.19E-06,1.09E-05,1.03E-05
