WellName,Formation Class,Latitude_BH,Longitude_BH,TVD_FT,TopOfZone_FT,BottomOfZone_FT,Isopach_FT,GammaRay_API,BulkDensity_GPerCC,Resistivity_OHMSM,DensityPorosity_PCT,EffectivePorosity_PCT,TotalOrganicCarbon_WTPCT
W1,A,32.29066,-103.479263,11554,11547.60326,11576.31183,24.858102,75.41527,2.563547,134.396398,0.083274,0.078097,2.146967
W2,A,32.425874,-103.670034,12216,12173.62392,12224.31558,46.697953,70.869479,2.580912,24.592665,0.082689,0.047219,1.333537
W3,A,32.46082172,-103.5495294,12241,12233.48103,12280.51012,48.885349,64.870045,2.559425,300.693867,0.089405,0.053506,1.706605
W4,A,32.02232881,-103.2818126,12008,11867.30481,11897.04051,50.598492,57.310452,2.627018,488.700329,0.049543,0.04367,1.360977
W5,A,32.3409551,-103.6692934,12205,12165.95764,12225.55298,59.988415,69.706078,2.576471,80.336887,0.082264,0.026953,0.729831
W6,A,31.12663546,-103.8996633,7344,7141.281073,7213.175861,73.054592,104.706785,2.502719,77.143829,0.067264,0.094005,3.707833
W7,A,31.170447,-103.790794,7842,7734.756688,7945.553904,79.883645,60.131453,2.606506,132.635147,0.056564,0.051372,1.80462
W8,A,32.290668,-103.473171,11593,11567.2213,11665.3166,82.891016,86.354142,2.52342,73.657462,0.109481,0.079755,2.95126
W9,A,31.28310571,-103.9807729,9242,9177.01524,9295.529259,94.525848,91.685202,2.518317,96.411632,0.113704,0.072787,3.387934
W10,A,31.283237,-103.987906,9223,9135.062753,9265.853021,95.771774,91.492017,2.518314,80.184255,0.11411,0.074518,3.37206
W11,A,31.28298518,-103.9825946,9227,9188.577812,9314.351705,96.918481,91.804187,2.520167,89.26412,0.112811,0.072914,3.368018
W12,A,32.179567,-103.436611,12729,12694.77101,12779.77511,102.617367,66.036801,2.609392,292.250473,0.059705,0.049059,1.90732
W13,A,30.99686662,-103.3341603,10228,10108.86703,10236.26165,103.326035,82.426036,2.529676,15.390432,0.1086,0.068934,3.044693
W14,A,31.24554939,-103.7249342,9900,9738.084696,9890.733041,104.821635,98.833514,2.543909,33.349667,0.097344,0.052026,2.606769
W15,A,32.266109,-103.502585,11830,11813.97952,11929.90422,105.418994,67.890809,2.564206,79.517506,0.084889,0.065525,1.865294
W16,A,31.084578,-103.164287,10495,10448.18223,10570.51965,106.260365,77.757765,2.539512,33.389984,0.097381,0.068707,2.444533
W17,A,31.00671122,-103.2697906,10092,10070.47115,10192.8694,108.258541,78.062928,2.542365,10.967142,0.099681,0.065651,2.620402
W18,A,30.98170911,-103.3319497,10032,10188.89726,10314.38084,108.979364,79.327313,2.519053,14.222867,0.1146,0.068926,3.026313
W19,A,32.290662,-103.482483,11494,11417.03852,11524.11678,109.869034,73.248583,2.556216,108.986235,0.089933,0.074328,1.766752
W20,A,32.050673,-103.303027,12099,12066.96263,12161.63326,111.719425,68.130399,2.593564,484.356793,0.068902,0.058352,1.98347
W21,A,31.01464067,-103.1860798,10171,10110.45609,10233.867,112.223672,77.545719,2.54855,18.48807,0.09651,0.065234,2.50721
W22,A,31.262341,-103.674359,9959,9956.211942,10098.19527,113.391414,94.923557,2.561886,13.959373,0.085887,0.053676,2.789782
W23,A,31.052646,-103.188551,13500,10428.39754,10555.31376,114.713012,75.534987,2.538729,29.404797,0.099961,0.069683,2.516121
W24,A,31.02416897,-103.3461821,10230,10206.35969,10339.87387,116.674431,78.88016,2.515676,16.540176,0.116343,0.068953,3.044857
W25,A,32.094677,-103.617729,12654,12581.77156,12723.92584,117.094237,76.568161,2.602075,156.359377,0.061387,0.067621,2.458403
W26,B,32.20492328,-103.9478698,7886,7730.216874,7856.861294,117.113468,65.746091,2.613468,569.381021,0.056384,0.049882,1.81215
W27,A,31.03945529,-103.3030856,10249,10234.34813,10360.2885,118.045817,76.484999,2.517289,8.730312,0.114456,0.068966,2.880648
W28,A,31.03959621,-103.3056489,10260,10234.34813,10360.2885,118.045817,76.484999,2.517289,8.730312,0.114456,0.068966,2.880648
W29,A,31.0288408,-103.2198684,10307,10275.90168,10399.01701,120.42876,74.361112,2.526402,10.985199,0.107746,0.068521,2.636381
W30,A,31.02113042,-103.2868453,10394,10252.53832,10376.41202,121.053353,74.737593,2.521934,8.178631,0.110317,0.068446,2.69215
W31,A,30.99468214,-103.1522236,9891,9760.65825,9892.023176,122.090163,82.194075,2.571753,28.03185,0.084735,0.06024,2.366426
W32,A,31.03841633,-103.28873,10557,10255.94058,10382.41147,122.463645,75.306993,2.517228,7.294668,0.113714,0.069026,2.802808
W33,A,32.158296,-103.465192,12837,12747.02589,12863.78129,125.45321,75.94724,2.548193,201.277462,0.093567,0.064401,1.752293
W34,B,32.2205,-103.975989,7675,7618.000065,7758.808293,125.512049,66.101969,2.587016,1220.85391,0.07189,0.062845,2.402745
W35,B,32.2205,-103.975989,7675,7618.000065,7758.808293,125.512049,66.101969,2.587016,1220.85391,0.07189,0.062845,2.402745
W36,A,32.67008341,-103.8289095,10390,10217.83253,10344.13716,125.725899,52.285687,2.624291,625.524913,0.049264,0.03974,1.249951
W37,A,31.982441,-103.263883,12165,12046.35173,12177.74539,126.45937,66.189066,2.641356,318.265564,0.040703,0.036691,1.482725
W38,A,31.36329823,-103.0745475,11253,11022.83441,11149.81561,126.748337,76.640234,2.577358,122.761377,0.079097,0.063804,2.809078
W39,A,32.050407,-103.252439,11449,11362.7894,11482.9944,132.639454,76.107759,2.627135,703.243796,0.047313,0.039201,1.88641
W40,A,31.05273985,-103.2199955,10437,10395.97657,10524.79504,133.852013,72.525807,2.519945,11.473494,0.110874,0.071648,2.681011
W41,A,31.21061631,-102.9586409,9295,9212.415293,9349.317885,134.887593,86.626553,2.559002,4.964344,0.088537,0.07266,2.6095
W42,B,32.21872999,-103.9924869,7689,7581.867458,7724.855172,134.942712,64.177461,2.588731,1417.18017,0.070892,0.063009,2.430181
W43,A,31.08634761,-103.0841708,10327,10214.32378,10336.48261,135.65093,67.984848,2.522498,26.354581,0.09234,0.067808,2.294964
